name,city,state,lat,lon,proof_url
Find Apartment Schedule Visit Apartment Floor ・ tree,Raleigh,NC,35.86301175548,-78.701927088061,https://oll-leasing.loftliving.com/oll/?siteId=5638292&MoveInDate=06/29/2026&UnitId=81&oll-source-attribution=apartments.com
1012 Lower Shiloh Way,Morrisville,NC,35.864533752975,-78.845822214813,https://oll-leasing.loftliving.com/oll/?siteId=5346718&MoveInDate=06/11/2026&UnitId=33&oll-source-attribution=apartments.com
Springfield Apartments,Durham,NC,35.95862765076,-78.965680522358,https://springfieldapartments.loftliving.com/support/pincode
500 East Main Street,East Durham,NC,35.992073941021,-78.895681975948,https://oll-leasing.loftliving.com/oll/?siteId=5452123&MoveInDate=09/26/2026&UnitId=13&oll-source-attribution=apartments.com
1101 Exchange Place,Durham,NC,35.910693375256,-78.915703762581,https://oll-leasing.loftliving.com/oll/?siteId=2996565&MoveInDate=08/20/2026&UnitId=276&oll-source-attribution=apartments.com
1122 Medlin Rd,Durham,NC,35.9476467,-78.9935151,https://oll-leasing.loftliving.com/oll/?siteId=5498502&MoveInDate=09/12/2026&UnitId=153&oll-source-attribution=apartments.com
Maizon Durham,Durham,NC,35.992073941021,-78.895681975948,https://maizondurham.loftliving.com/portal/wall
810 9th St,Durham,NC,36.010820633184,-78.921901467801,https://oll-leasing.loftliving.com/oll/?siteId=3721448&MoveInDate=06/01/2026&UnitId=223&oll-source-attribution=apartments.com
Apartments,Durham,NC,35.944470489632,-78.825328361728,https://oll-leasing.loftliving.com/oll/?siteId=5551854&MoveInDate=10/01/2026&UnitId=189&oll-source-attribution=apartments.com
Need an Account?,Morrisville,NC,35.813102896693,-78.830561200517,https://prestonview.loftliving.com/support/pincode
909 Athletic Lane,Morrisville,NC,35.837635,-78.8166866,https://oll-leasing.loftliving.com/oll/?siteId=5318410&MoveInDate=04/28/2026&UnitId=217&oll-source-attribution=apartments.com
Brigham Ridge Apartments,Greensboro,NC,36.117815467248,-79.972161075895,https://brighamrridgeapartments.loftliving.com/support/pincode
Printworks Mill Apartments,Greensboro,NC,36.09988379332,-79.772920651691,https://printworksmillapartments.loftliving.com/support/pincode
3501 Farmington Drive,Greensboro,NC,36.048098484303,-79.850367232176,https://oll-leasing.loftliving.com/oll/?siteId=5566798&MoveInDate=05/08/2026&UnitId=12&oll-source-attribution=apartments.com
4126 Macbeth Street,Greensboro,NC,,,https://oll-leasing.loftliving.com/oll/?siteId=5544500&MoveInDate=04/10/2026&UnitId=88&oll-source-attribution=apartments.com
4020 Eight Belles Lane,Greensboro,NC,36.142009506897,-79.885318096168,https://oll-leasing.loftliving.com/oll/?siteId=4906126&MoveInDate=07/01/2026&UnitId=3&oll-source-attribution=apartments.com
