apt_id,name,address,city,zip,units,year_built,owner,parcels,cad_prop_ids,cad_use_code,website,website_confidence,software,signal,proof_url,checked_at,unknown_reason
2818383,Windsor Preston,7950 Preston Rd,Plano,75024,288,2018,ALTA 289 LLC,1,2818383,MFU,https://www.windsorcommunities.com/properties/windsor-preston/,high,Yardi,portal,https://windsorpreston.securecafe.com/residentservices/windsor-preston/userlogin.aspx,2026-09-10,
1268247,Fox Trails Apartments,6300 Roundrock Trl,Plano,75023,286,1981,FOX PARTNERS LLC,1,1268247,MFU,https://www.irtliving.com/Apartments/Texas/Plano/Fox-Trails,high,Entrata,portal,https://foxtrailsapts.residentportal.com/auth,2026-09-10,
2712754,Junction 15 Apartments,930 E 15Th St,Plano,75074,279,2013,TR JUNCTION 15 LLC,1,2712754,MFU,http://www.junction15apartments.,high,unknown,none,,2026-09-10,no-portal-link
1503117,Bellevue At Spring Creek Apartments,2401 W Spring Creek Pkwy,Plano,75023,278,1982,SPRING CREEK 278 LLC,1,1503117,MFU,https://rejournals.com/grea-brokers-sale-of-278-unit-apartment-community-in-plano-submarket/,low,unknown,none,,,no-website
113282,Hunters Glen Apartments,6400 Independence Pkwy,Plano,75023,276,1980,6400 INDEPENDENCE PLANO LLC,1,113282,MFU,https://thehuntersglen.com/,high,Yardi,hop-portal,https://thehuntersglen.securecafe.com/residentservices/hunters-glen2/userlogin.aspx,2026-09-10,
2039198,Camden Legacy Park Apartments,6600 Preston Rd,Plano,75024,276,1995,2009 COLP COMMUNITY OWNER LLC,1,2039198,MFU,https://www.camdenliving.com/apartments/plano-tx/camden-legacy-park,high,in-house:Camden,portal,https://www.mycamden.com/,2026-09-10,
2047307,Prestonwood Hills Apartments,6601 W Plano Pkwy,Plano,75093,272,1996,RJW PRESTONWOOD HILLS LP,1,2047307,MFU,https://www.prestonwoodhillsapts.com/,high,Yardi,portal,https://prestonwoodhillsapts.securecafe.com/residentservices/prestonwood-hills/userlogin.aspx,2026-09-10,
2091841,Windsor At Legacy,6400 Windcrest Dr,Plano,75024,270,1998,MAINSTAY LEGACY PLANO LP,1,2091841,MFU,https://www.windsorcommunities.com/properties/legacy-at-windsor/,high,Yardi,portal,https://windsoratlegacy.securecafe.com/residentservices/windsor-at-legacy/userlogin.aspx,2026-09-10,
2932770,The Emory,1345 14Th St,Plano,75074,270,2023,GRAYCO PLANO INVESTMENT 2022 LP,1,2932770,MFU,https://www.theemoryplano.com/,high,Entrata,portal,https://theemoryplano.residentportal.com/,2026-09-10,
1971215,Marquis At Legacy Apartments,6820 Preston Rd,Plano,75024,268,1990,CWS BELL LP & CWS WWL LEGACY LP,1,1971215,MFU,https://www.mqlegacy.com/,high,Yardi,hop-portal,https://mqlegacy.securecafe.com/residentservices/marquis-at-legacy/userlogin.aspx,2026-09-10,
1971235,Cottages At Tulane Apartments,2600 Preston Rd,Plano,75093,268,1990,BRISTLECONE TEXAS LTD,1,1971235,MFU,https://www.cottagesattulane.com/,high,RealPage,portal,https://46544.onlineleasing.realpage.com/,2026-09-10,
179611,Evana Grove,3500 Hillridge Dr,Plano,75074,266,1970,LURIN REAL ESTATE HOLDINGS LXIII LLC,1,179611,MFU,http://evanagrove.com/,high,unknown,none,,2026-09-10,no-portal-link
2041713,Ellington,4701 Preston Park Blvd,Plano,75093,266,1995,S2 PRESTON PARK LP,1,2041713,MFU,https://www.liveellington.com/,high,Yardi,portal,https://liveellington.securecafe.com/onlineleasing/the-ellington5/guestlogin.aspx,2026-09-10,
2071041,Parker Apartments,4701 Charles Pl,Plano,75093,264,1997,PLANO GFPG LLC,1,2071041,MFU,https://parkerplano.com/,high,unknown,none,,2026-09-10,no-portal-link
2686924,Amli West Plano,5961 W Parkwood Blvd,Plano,75093,264,2014,PPF AMLI WEST PLANO VILLAGE LP,1,2686924,MFU,https://www.amli.com/apartments/dallas/north-dallas-apartments/amli-west-plano,high,Entrata,portal,https://amliwestplano-prospectportal.amli.com/Apartments/module/application_authentication,2026-09-10,
2858142,Residences At Promontory,4700 W Spring Creek Pkwy,Plano,75093,264,2023,PROMONTORY RESIDENTIAL LP,1,2858142,MFU,https://www.theresidencesatpromontory.com/,high,Yardi,portal,https://theresidencesatpromontory.securecafe.com/onlineleasing/the-residences-at-promontory/register.aspx,2026-09-10,
94855,Fairway Apartments,1705 Coit Rd,Plano,75075,256,1979,FAIRWAY GARDENS LP,1,94855,MFU,https://www.harborgroupmanagement.com/apartments/tx/plano/fairway,high,MRI/RentManager,hop-portal,https://www.mrisoftware.com/portalprivacypolicy/,2026-09-10,
2116704,Lakeside At Legacy Village Apartments I & Ii,7001 Parkwood Blvd,Plano,75024,255,2003,UDR LEGACY VILLAGE LLC,1,2116704,MFU,https://www.udr.com/dallas-apartments/plano/legacy-village-apartment-homes/,high,in-house:UDR,portal,https://residents.udr.com/,2026-09-10,
