apt_id,name,address,city,zip,units,year_built,owner,parcels,cad_prop_ids,cad_use_code
2582787,Plaza At Chase Oaks Senior Chodo,7100 Chase Oaks Blvd,Plano,75025,240,2005,UNIFIED HOUSING OF CHASE OAKS LLC,1,2582787,MFUSU
2614632,Encore Apartments,4700 Tribeca Ln,Plano,75024,240,2011,KV ENCORE APARTMENTS LLC,1,2614632,MFU
92688,Custer Park Apartments,3400 Custer Rd,Plano,75023,232,1978,PRICEBLU CUSTER LLC,1,92688,MFU
365483,Woodlands Of Plano Apartments Tc,1300 Rigsbee Dr,Plano,75074,232,1968,CLOVER WOODLANDS PLANO OWNER LLC,1,365483,MFUSU
2120057,Towns Of Chapel Hill Apartments,6201 Chapel Hill Blvd,Plano,75093,232,1997,TOWNS OF CHAPEL HILL APTS LP,1,2120057,MFU
1716655,Hathaway At Willow Bend,2525 Preston Rd,Plano,75093,229,1984,WINSTON GT HOLDINGS LP &,1,1716655,MFU
2900849,K Avenue Lofts,2505 K Ave,Plano,75074,226,2022,PLANO HOUSING AUTHORITY,1,2900849,MFU
1989159,The Oaks At Plano,5000 Old Shepard Pl,Plano,75093,224,1991,PRESTON OLD SHEPARD TITLEHOLDER LLC,1,1989159,MFUSE
2632167,Conservatory At Plano Senior Apartments,6401 Ohio Dr,Plano,75024,222,2006,CONSERVATORY SENIOR HOUSING AT CHAMPION FOREST LP & ETAL,1,2632167,MFUSE
1747603,Birchstone Residential,2523 Ohio Dr,Plano,75093,220,1984,HOP BORROWER LLC,1,1747603,MFU
2116749,Maa Legacy Apartments,5741 Martin Rd,Plano,75024,213,1999,MAA WWARRS LLC,1,2116749,MFU
2631255,Atria Canyon Creek Senior Apts,440 Independence Pkwy,Plano,75075,213,2007,VTR PLANO LLC,1,2631255,MFUSE
2846017,Luxia Preston,4950 Broadway Dr,Plano,75024,212,2020,LUXIA PRESTON LLC,1,2846017,MFU
2843990,Legacy Town North Phase Iv Apts,7840 Clara Dr,Plano,75024,210,2010,5765 BOZEMAN (TX) OWNER LP,1,2843990,MFU
287594,Leighton Apartments,1717 Independence Pkwy,Plano,75075,208,1978,INDEPENDENCE RES LLC,3,287594;287601;287610,MFU
2097518,Reserve At Pebble Creek Apartments,3800 Pebble Creek Ct,Plano,75023,208,1998,PEBBLE CREEK GARDENS LP,1,2097518,MFU
2109636,Somerset At Spring Creek Apartments,3801 W Spring Creek Pkwy,Plano,75023,208,1999,SPRING CREEK GARDENS LP,1,2109636,MFU
1511233,The Wexley,5401 Independence Pkwy,Plano,75023,204,1983,HARVESTREE OWNER LLC,1,1511233,MFU
1515006,Maa Highwood Apartments,2401 Ohio Dr,Plano,75093,196,1983,MID-AMERICA APARTMENTS LP,1,1515006,MFU
1974850,Wellington At Willow Bend Apartments,3200 Parkwood Blvd,Plano,75093,194,1991,WELLINGTON APARTMENTS UI LLC & DEMING CENTRAL WELLINGTON LLC &,1,1974850,MFU
134633,Grove Park Apartments,1705 Jupiter Rd,Plano,75074,188,1975,BUMPUS DONALD R GRANTOR TRUST THE,1,134633,MFU
2802245,Morada Plano Apartments,1009 14Th St,Plano,75074,183,2017,TIMBERS PLANO PARTNERS LLC - ETAL,2,2802245;2802246,MFU
1580300,Greenbriar Apartments,1901 W Spring Creek Pkwy,Plano,75023,182,1983,PRICE GREENBRIAR PLANO LLC,1,1580300,MFU
2132903,Heritage At Lakeside Apartments,5900 Baywater Dr,Plano,75093,181,1999,HERITAGE AT LAKESIDE PROPERTY OWNER LLC,1,2132903,MFU
2092539,Livingston Apartments,6301 Windhaven Pkwy,Plano,75093,180,1998,GP-RPC LIVINGSTON LLC,1,2092539,MFU
2779499,Bridge At Heritage Creek Apartments,1550 W Plano Pkwy,Plano,75075,180,2015,BRIDGE AT HERITAGE CREEKSIDE I LLC THE,1,2779499,MFU
2953639,Mariposa At Communications Parkway Senior - Tc,6820 Communications Pkwy,Plano,75024,180,2022,MARIPOSA COMMUNICATIONS PARKWAY LP,1,2953639,MFUSU
2820374,Orchards Market Plaza Senior Apts,3640 Mapleshade Ln,Plano,75075,178,2019,CSH PLANO ACT LLC,1,2820374,MFUSE
2734943,The Holland,8020 Windrose Ave,Plano,75024,175,2025,LW RESIDENTIAL PARTNERS LP,1,2734943,MFU
2116750,Post Legacy Apartments,5721 Henry Cook Blvd,Plano,75024,171,1999,MAA WWARRS LLC,1,2116750,MFU
2710065,Overture Plano Senior Apartments,500 Coit Rd,Plano,75075,168,2015,DHC HYB SLC PROPERTIES LLC,1,2710065,MFUSE
2027278,The Calvin,2501 Ohio Dr,Plano,75093,167,1995,RC CALVIN LLC,1,2027278,MFU
2808931,Instrata At Legacy West,7850 Communications Pkwy,Plano,75024,161,2019,LW OWNER 2 LLC,1,2808931,MFU
26251,Lydian Apartments,2821 Townbluff Dr,Plano,75075,160,1976,TOWNBLUFF RES LLC,1,26251,MFU
1747612,Preserve At Preston,2525 Ohio Dr,Plano,75093,160,1985,HOP BORROWER LLC,1,1747612,MFU
269792,Bel Air On 16Th,651 W 16Th St,Plano,75075,152,1965,PLANO PUBLIC FACILITY CORPORATION,1,269792,MFU
1708744,Park Springs Townhomes Apartments,900 S Medalist Cir,Plano,75023,148,1985,PARK SPRINGS TEXAS LLC,1,1708744,MFU
2936294,Novum Independent Living,8120 Preston Rd,Plano,75024,147,2024,PLANO OWNER LLC,1,2936294,MFUSE
2779500,Bridge At Heritage Creekside,1550 W Plano Pkwy,Plano,75075,146,2015,BRIDGE AT HERITAGE CREEKSIDE I LLC THE,1,2779500,MFU
2545145,Mcdermott Park/55,8312 Angels Dr,Plano,75024,144,2017,PECAN PUBLIC FACILITY CORPORATION,1,2545145,MFUSE
21924,Chisholm Place Apartments,1001 W Park Blvd,Plano,75075,142,1981,1001 CHISHOLM LLC,1,21924,MFU
2122987,Link At Plano,1013 15Th Pl,Plano,75074,142,2000,COVEY PLANO LP,1,2122987,MFU-IMPO
21157,Highpoint Townhomes,6500 E Medalist Cir,Plano,75023,140,1985,URBAN HIGH POINT LP,1,21157,MFU
1640889,Windsor Place Apts,3535 14Th St,Plano,75074,140,1983,WINDSOR PLACE EQUITY ENTERPRISES LLC,1,1640889,MFU
2654207,Plano Park Townhomes,2253 Ashley Park Dr,Plano,75074,140,1985,ASHLEY PARK TOWNHOMES LLC,1,2654207,MFU
2843129,Patriot Park Apartments Chodo,701 13Th 14Th Connector,Plano,75074,139,2019,PLANO FAMILY 001 LP,1,2843129,MFUSU
2115198,Waterford At Plano A Senior Apartments,3401 Premier Dr,Plano,75023,136,1999,TRIAD SENIOR LIVING II LP,1,2115198,MFUSE
2873065,Twin Rivers At Collin Creek Senior Living,1717 Alma Dr,Plano,75075,136,2021,TWIN RIVERS AT COLLIN CREEK LTD,1,2873065,MFUSE
2107914,Villas Of Mission Bend Senior Apartments Tc,1201 Medical Ave,Plano,75075,135,1999,M N PLANO LTD,1,2107914,MFUSU
