apt_id,software,signal,proof_url,checked_at,unknown_reason
148655,RealPage,hop-portal,https://villasdelsol.loftliving.com/portal/,2026-09-10,
2683019,RealPage,hop-portal,https://property.onesite.realpage.com/welcomehome/?siteId=2444141,2026-09-10,
2803398,ResMan,portal,https://fairmont.myresman.com/Portal/Access/SignIn/AV,2026-09-10,
13310,unknown,none,,2026-09-10,no-portal-link
1524318,unknown,none,,2026-09-10,no-portal-link
1808832,ResMan,portal,https://valcap.myresman.com/Portal/Access/SignIn/ASPN,2026-09-10,
2567179,in-house:UDR,portal,https://residents.udr.com/,2026-09-10,
769,unknown,none,,,no-website
2856761,unknown,none,,,no-website
2986934,RealPage,hop-portal,https://property.onesite.realpage.com/welcomehome?siteId=4395751,2026-09-10,
354556,unknown,none,,2026-09-10,no-portal-link
180271,unknown,none,,2026-09-10,no-portal-link
1764969,unknown,none,,,no-website
163325,unknown,none,,,no-website
2820598,Buildium,portal,https://touraineplano.managebuilding.com/Resident/rental-application/new,2026-09-10,
84143,unknown,none,,,no-website
163334,ResMan,portal,https://savoy.myresman.com/Portal/Applicants/Availability?a=1471&p=6c234bdc-e250-4c76-8422-5d5344309533,2026-09-10,
84125,RealPage,portal,https://login.activebuilding.com/auth/login,2026-09-10,
1571819,RealPage,asset,https://www.realpage.com/,2026-09-10,
2039505,Yardi,hop-portal,https://marquiswaterview.securecafe.com/residentservices/marquis-at-waterview/userlogin.aspx,2026-09-10,
2039698,unknown,none,https://apply.funnelleasing.com/873/login,2026-09-10,in-house-portal
2751130,Yardi,portal,https://liveatreserve.securecafenet.com/residentservices/reserve-at-spring-creek-apartments/userlogin,2026-09-10,
2117157,unknown,none,,,no-website
2748103,Yardi,portal,https://vantagespringcreek.securecafenet.com/residentservices/vantage-at-spring-creek0/userlogin,2026-09-10,
2770320,Yardi,portal,https://thejamesatcanyoncreek.securecafenet.com/residentservices/cortland-canyon-creek/userlogin,2026-09-10,
2018601,MRI/RentManager,hop-portal,https://www.mrisoftware.com/portalprivacypolicy/,2026-09-10,
2832628,Entrata,portal,https://northside.prospectportal.com/Apartments/module/application_authentication/property[id]/181581/show_in_popup/false/kill_session/1/,2026-09-10,
2645564,Yardi,portal,https://thepradera.securecafe.com/onlineleasing/the-pradera-0/guestlogin.aspx,2026-09-10,
2696110,RealPage,portal,https://property.onesite.realpage.com/welcomehome?siteId=3835684#url=%23login,2026-09-10,
2726690,ResMan,portal,https://sync.myresman.com/Portal/Access/SignIn/CL,2026-09-10,
2721394,Yardi,hop-portal,https://axis110.securecafe.com/residentservices/axis-1100/userlogin.aspx?ssid=5062d8f741e4125cd17edc19d23a0dac,2026-09-10,
2725292,Yardi,portal,https://steadfastmanagement.securecafe.com/residentservices/apartmentsforrent/userlogin.aspx?_yTrackUser=NDQ3MzQ3MTEwMiMxNzIxOTY0OTc4-lP7tWSBwPWY%253d&_yTrackVisit=NzIxNDM1Mjk3MyMyMjk5NDE5NjM%253d-F%252bGk6LeXs7s%253d&_yTrackReqDT=01381720261009,2026-09-10,
2758568,Entrata,portal,https://northside.prospectportal.com/Apartments/module/application_authentication/property[id]/181581/show_in_popup/false/kill_session/1/,2026-09-10,
2786866,Yardi,portal,https://theregisterapts.securecafenet.com/residentservices/the-register1/userlogin,2026-09-10,
2725278,Yardi,portal,https://windsorcityline.securecafe.com/residentservices/windsor-cityline/userlogin.aspx,2026-09-10,
2693848,RealPage,portal,https://4339250.onlineleasing.realpage.com/,2026-09-10,
2776050,Entrata,portal,https://northside.prospectportal.com/Apartments/module/application_authentication/property[id]/181581/show_in_popup/false/kill_session/1/,2026-09-10,
2924643,Yardi,portal,https://citylineriley.rentcafe.com/resident/the-riley3/login?_yTrackUser=NDQ3MzQ3MTM3MCMyMDg3Njg2ODQ4-YM78St2NyTo%253d&_yTrackVisit=NzIxNDM1MzQyMyMxOTA4MjQxMTAz-laWuOOb54qw%253d&_yTrackReqDT=09381720261009,2026-09-10,
2811014,Entrata,portal,https://northside.prospectportal.com/Apartments/module/application_authentication/property[id]/181581/show_in_popup/false/kill_session/1/,2026-09-10,
1865440,unknown,none,,2026-09-10,no-portal-link
2739599,RealPage,portal,https://8309130.onlineleasing.realpage.com/,2026-09-10,
2784362,Yardi,portal,https://bellcityline.securecafe.com/onlineleasing/bell-cityline/guestlogin.aspx?ssid=2971219b8847e36cbcc2f3af57b2c416,2026-09-10,
2707424,RealPage,hop-portal,https://anthematcityline.activebuilding.com/login,2026-09-10,
2725294,in-house:UDR,portal,https://residents.udr.com/,2026-09-10,
2058066,Yardi,hop-portal,https://breckinridgepoint.securecafenet.com/residentservices/breckinridge-point0/userlogin,2026-09-10,
2058065,Yardi,hop-portal,https://breckinridgepoint.securecafenet.com/residentservices/breckinridge-point0/userlogin,2026-09-10,
1615274,unknown,none,,,no-website
2784361,Yardi,portal,https://bellcityline.securecafe.com/onlineleasing/bell-cityline/guestlogin.aspx?ssid=2971219b8847e36cbcc2f3af57b2c416,2026-09-10,
2667180,Yardi,portal,https://www.rentcafe.com/residentservices/evergreen-at-richardson/userlogin.aspx,2026-09-10,
2692418,RealPage,asset,https://lifeatcreekside.activebuilding.com/,2026-09-10,
2054151,RealPage,portal,https://1368520v3.onlineleasing.realpage.com/#k=61706,2026-09-10,
155691,RealPage,hop-portal,https://smgroyalarms.loftliving.com/login,2026-09-10,
2693849,RealPage,portal,https://4339250.onlineleasing.realpage.com/,2026-09-10,
220291,ResMan,portal,https://richmark.myresman.com/Portal/Applicants/New/FACL?a=1054,2026-09-10,
