situscity,dbaname,situsconcatshort,imprvunits,imprvyearbuilt,ownername,parcels,software,proof
PLANO,ATRIA CANYON CREEK SENIOR APTS,440 INDEPENDENCE PKWY,213,2007,VTR PLANO LLC,1,,
PLANO,MAA LEGACY APARTMENTS,5741 MARTIN RD,213,1999,MAA WWARRS LLC,1,,
PLANO,LUXIA PRESTON,4950 BROADWAY DR,212,2020,LUXIA PRESTON LLC,1,,
PLANO,LEGACY TOWN NORTH PHASE IV APTS,7840 CLARA DR,210,2010,5765 BOZEMAN (TX) OWNER LP,1,,
PLANO,RESERVE AT PEBBLE CREEK APARTMENTS,3800 PEBBLE CREEK CT,208,1998,PEBBLE CREEK GARDENS LP,1,,
PLANO,SOMERSET AT SPRING CREEK APARTMENTS,3801 W SPRING CREEK PKWY,208,1999,SPRING CREEK GARDENS LP,1,,
PLANO,LEIGHTON APARTMENTS,1717 INDEPENDENCE PKWY,208,1978,INDEPENDENCE RES LLC,3,,
PLANO,THE WEXLEY,5401 INDEPENDENCE PKWY,204,1983,HARVESTREE OWNER LLC,1,,
PLANO,MAA HIGHWOOD APARTMENTS,2401 OHIO DR,196,1983,MID-AMERICA APARTMENTS LP,1,,
PLANO,WELLINGTON AT WILLOW BEND APARTMENTS,3200 PARKWOOD BLVD,194,1991,WELLINGTON APARTMENTS UI LLC & DEMING CENTRAL WELLINGTON LLC &,1,,
PLANO,GROVE PARK APARTMENTS,1705 JUPITER RD,188,1975,BUMPUS DONALD R GRANTOR TRUST THE,1,,
PLANO,MORADA PLANO APARTMENTS,1009 14TH ST,183,2017,TIMBERS PLANO PARTNERS LLC - ETAL,2,Yardi,https://moradaplano.securecafenet.com/residentservices/morada-plano1/userlogin
PLANO,GREENBRIAR APARTMENTS,1901 W SPRING CREEK PKWY,182,1983,PRICE GREENBRIAR PLANO LLC,1,,
PLANO,HERITAGE AT LAKESIDE APARTMENTS,5900 BAYWATER DR,181,1999,HERITAGE AT LAKESIDE PROPERTY OWNER LLC,1,,
PLANO,BRIDGE AT HERITAGE CREEK APARTMENTS,1550 W PLANO PKWY,180,2015,BRIDGE AT HERITAGE CREEKSIDE I LLC THE,1,RealPage,https://7613495.onlineleasing.realpage.com/
PLANO,LIVINGSTON APARTMENTS,6301 WINDHAVEN PKWY,180,1998,GP-RPC LIVINGSTON LLC,1,,
PLANO,MARIPOSA AT COMMUNICATIONS PARKWAY SENIOR - TC,6820 COMMUNICATIONS PKWY,180,2022,MARIPOSA COMMUNICATIONS PARKWAY LP,1,,
PLANO,ORCHARDS MARKET PLAZA SENIOR APTS,3640 MAPLESHADE LN,178,2019,CSH PLANO ACT LLC,1,,
PLANO,THE HOLLAND,8020 WINDROSE AVE,175,2025,LW RESIDENTIAL PARTNERS LP,1,,
