apt_id,owner,website_confidence,unknown_reason,sale_date,sale_new_owner,sale_previous_owner,lead_rank,lead_total_leads,lead_why
2811014,NORTHSIDE CAMPUS PARTNERS 3 LP,high,,,,,,,
1865440,D CANTERBURY LLC,high,no-portal-link,,,,,,
2739599,LYLA OWNER LLC,high,,,,,,,
2784362,BCF I CITYLINE LLC,high,,,,,,,
2707424,ANTHEM AT CITYLINE/PT-SPE LLC,high,,,,,,,
2725294,FLATS AT PALISADES LLC,high,,,,,,,
2058066,BRECKINRIDGE POINT TX LLC,high,,2025-06-13,BRECKINRIDGE POINT TX LLC,unknown (same owner name in 2025 roll),34,48,Sold Jun 2025 to BRECKINRIDGE POINT TX LLC · 226 units · on Yardi → new owner may re-pick software.
2058065,BRECKINRIDGE POINT TX LLC,high,,2025-06-13,BRECKINRIDGE POINT TX LLC,unknown (same owner name in 2025 roll),35,46,Sold Jun 2025 to BRECKINRIDGE POINT TX LLC · 214 units · on Yardi → new owner may re-pick software.
1615274,THE CAMERON COUNTY HOUSING FINANCE CORPORATION,none,no-website,2025-04-14,THE CAMERON COUNTY HOUSING FINANCE CORPORATION,unknown (same owner name in 2025 roll),29,56,Sold Apr 2025 to THE CAMERON COUNTY HOUSING FINANCE CORPORATION · 208 units · software not yet identified → new owner may re-pick software.
2784361,BCF I CITYLINE LLC,high,,,,,,,
2667180,EVERGREEN RICHARDSON SENIOR COMMUNITY LP,high,,,,,,,
2692418,CUSTER CREEKSIDE LLC,high,,,,,,,
2054151,VILLAGES RESIDENCES LP,high,,,,,,,
155691,ROLLING CASH ROYAL ARMS LP,high,,,,,,,
2693849,PRICE STANDARD AT CITYLINE LP,high,,,,,,,
220291,FOUNDATION APARTMENTS WAGERMAN LLC &,high,,,,,,,
2686978,MIYAMA USA DUCK CREEK INC,high,,,,,,,
