propid,dbaname,situsconcatshort,situscity,situszip,ownername,imprvunits,imprvyearbuilt,propusecode
21157,HIGHPOINT TOWNHOMES,6500 E MEDALIST CIR,PLANO,75023,URBAN HIGH POINT LP,140,1985,MFU
1640889,WINDSOR PLACE APTS,3535 14TH ST,PLANO,75074,WINDSOR PLACE EQUITY ENTERPRISES LLC,140,1983,MFU
2654207,PLANO PARK TOWNHOMES,2253 ASHLEY PARK DR,PLANO,75074,ASHLEY PARK TOWNHOMES LLC,140,1985,MFU
2843129,PATRIOT PARK APARTMENTS CHODO,701 13TH 14TH CONNECTOR,PLANO,75074,PLANO FAMILY 001 LP,139,2019,MFUSU
2115198,WATERFORD AT PLANO A SENIOR APARTMENTS,3401 PREMIER DR,PLANO,75023,TRIAD SENIOR LIVING II LP,136,1999,MFUSE
2873065,TWIN RIVERS AT COLLIN CREEK SENIOR LIVING,1717 ALMA DR,PLANO,75075,TWIN RIVERS AT COLLIN CREEK LTD,136,2021,MFUSE
2107914,VILLAS OF MISSION BEND SENIOR APARTMENTS TC,1201 MEDICAL AVE,PLANO,75075,M N PLANO LTD,135,1999,MFUSU
148646,ALTA VISTA APARTMENTS,700 18TH ST,PLANO,75074,ALTA VISTA APARTMENTS & TJFL LEGACY LP,133,1962,MFU
356965,AURA NORTHLINE,533 J PL,PLANO,75074,TRG NORTHLINE LP,130,2024,MFU
2557311,LEGACY VILLAGE APTS PHASE II,5701 SCRUGGS WAY,PLANO,75024,UDR LEGACY VILLAGE LLC,126,2004,MFU
2107892,LANGDON AT SPRING CREEK,6501 INDEPENDENCE PKWY,PLANO,75023,NEVADA VI GD LLC,124,1999,MFU
2721330,HORIZON AT PREMIER,3409 PREMIER DR,PLANO,75023,STARBOARD PREMIER DST,122,2016,BTR
2069471,SOLSTICE SENIOR LIVING,1940 W SPRING CREEK PKWY,PLANO,75023,WINTERFELL COTTONWOOD (TX) OWNER LLC,115,1999,MFUSE
2557313,LEGACY VILLAGE IV BUILDING E,5700 SCRUGGS WAY,PLANO,75024,UDR LEGACY VILLAGE LLC,105,2006,MFU
2122988,BEL AIR K STATION,1013 15TH PL,PLANO,75074,COVEY PLANO LP,103,2000,MFU-IMPO
2873533,GALA AT PREMIER SENIOR TC,2425 PREMIER DR,PLANO,75075,GALA AT PREMIER LP,97,2021,MFUSU
148655,VILLAS APARTMENTS,659 E 16TH ST,PLANO,75074,VDS EAT LLC,96,1971,MFU
287610,LEIGHTON APARTMENTS,1717 INDEPENDENCE PKWY,PLANO,75075,INDEPENDENCE RES LLC,96,1978,MFU
2683019,TUSCANY VILLAS AT CHASE OAKS SENIOR CHODO,7112 CHASE OAKS BLVD,PLANO,75025,UHF TUSCANY VILLAS HOUSING LP,90,2011,MFUSU
